City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mweka,-4.85,21.57,18.22,39,28,0.69,CD,1592428524
ushuaia,-54.8,-68.3,3.0,74,40,1.5,AR,1592428524
cape town,-33.93,18.42,10.56,76,58,1.5,ZA,1592428265
aykhal,66.0,111.5,11.0,53,0,2.0,RU,1592428525
pevek,69.7,170.31,6.69,64,99,2.28,RU,1592428525
tautira,-17.73,-149.15,28.0,74,75,3.6,PF,1592428525
albany,42.6,-73.97,31.11,32,0,0.89,US,1592428360
corrente,-3.74,-43.34,25.57,75,0,1.16,BR,1592428525
hofn,64.25,-15.21,9.48,64,0,2.69,IS,1592428525
guamal,9.14,-74.22,30.53,76,54,1.11,CO,1592428525
timmins,48.47,-81.33,33.0,31,20,3.6,CA,1592428525
rikitea,-23.12,-134.97,24.14,79,23,6.91,PF,1592428525
marfino,55.7,37.38,25.0,68,97,1.0,RU,1592428525
ballina,-28.87,153.57,13.0,93,75,2.6,AU,1592428526
moron,-34.65,-58.62,26.0,57,87,4.1,AR,1592428526
hobart,-42.88,147.33,1.67,82,20,4.6,AU,1592428342
hermanus,-34.42,19.23,16.2,46,2,3.19,ZA,1592428312
luau,-10.71,22.22,14.49,50,0,2.37,AO,1592428526
bandarbeyla,9.49,50.81,27.44,71,90,14.56,SO,1592428526
mataura,-46.19,168.86,3.89,83,0,1.34,NZ,1592428526
dikson,73.51,80.55,0.49,92,97,1.12,RU,1592428527
punta arenas,-53.15,-70.92,0.0,84,0,2.6,CL,1592428527
sao felix do xingu,-6.64,-51.99,25.84,72,33,1.26,BR,1592428527
kozhevnikovo,56.26,83.97,7.22,94,0,1.24,RU,1592428527
cayenne,4.93,-52.33,25.0,94,75,2.5,GF,1592428527
hambantota,6.12,81.12,27.08,85,68,6.96,LK,1592428527
tiksi,71.69,128.87,10.23,80,100,2.89,RU,1592428527
seddon,-37.81,144.89,7.0,81,0,4.6,AU,1592428527
manta,-0.95,-80.73,26.0,83,75,4.6,EC,1592428528
hilo,19.73,-155.09,26.67,57,90,2.23,US,1592428528
ust-kuyga,70.02,135.6,24.24,38,2,3.3,RU,1592428528
naze,28.37,129.48,26.0,100,40,4.6,JP,1592428528
las rosas,-32.48,-61.58,22.41,71,100,4.15,AR,1592428528
asilah,35.47,-6.03,19.0,77,95,2.1,MA,1592428528
berbera,10.44,45.01,33.95,43,63,9.41,SO,1592428528
luderitz,-26.65,15.16,22.09,22,0,8.03,NA,1592428528
tuatapere,-46.13,167.68,3.89,83,23,1.34,NZ,1592428528
codrington,-38.27,141.97,7.02,88,93,5.06,AU,1592428529
kruisfontein,-34.0,24.73,11.89,41,0,2.62,ZA,1592428529
paracuru,-3.41,-39.03,25.0,83,6,4.02,BR,1592428529
arlit,18.74,7.39,34.77,9,0,7.15,NE,1592428529
dunedin,-45.87,170.5,7.78,70,56,10.28,NZ,1592428503
ardakan,32.31,54.02,32.0,11,0,4.1,IR,1592428529
barrow,71.29,-156.79,5.0,75,1,5.7,US,1592428381
nikolskoye,59.7,30.79,21.0,73,20,4.0,RU,1592428529
buzescu,44.02,25.23,17.22,93,69,2.86,RO,1592428529
jamestown,42.1,-79.24,26.11,39,1,3.6,US,1592428324
tokur,53.13,132.9,5.12,88,95,1.44,RU,1592428530
atuona,-9.8,-139.03,26.9,73,0,6.93,PF,1592428530
bluff,-46.6,168.33,3.89,83,22,1.34,NZ,1592428530
portland,45.52,-122.68,21.67,49,20,4.1,US,1592428460
mareeba,-17.0,145.43,20.0,90,100,0.89,AU,1592428530
mar del plata,-38.0,-57.56,18.0,93,90,1.5,AR,1592428469
mineros,-17.12,-63.23,29.0,58,20,7.7,BO,1592428530
bethel,41.37,-73.41,28.33,47,1,4.1,US,1592428531
mayo,38.89,-76.51,22.22,78,90,4.1,US,1592428531
hobyo,5.35,48.53,26.64,70,100,12.45,SO,1592428531
arraial do cabo,-22.97,-42.03,22.0,68,20,5.7,BR,1592428531
kavieng,-2.57,150.8,28.41,73,12,3.74,PG,1592428531
kachiry,53.07,76.1,13.5,61,0,1.95,KZ,1592428531
bathsheba,13.22,-59.52,30.0,66,40,8.7,BB,1592428531
castro,-24.79,-50.01,15.11,87,0,2.27,BR,1592428531
cabo san lucas,22.89,-109.91,33.0,36,5,4.1,MX,1592428244
ararat,39.83,44.7,18.0,68,20,1.5,AM,1592428532
port alfred,-33.59,26.89,11.67,86,0,1.79,ZA,1592428532
port pirie,-33.18,138.02,4.0,93,0,3.1,AU,1592428532
bara,10.37,10.73,26.2,78,99,5.59,NG,1592428532
san jose,37.34,-121.89,30.56,20,1,4.6,US,1592428502
katsuura,35.13,140.3,22.22,84,100,4.69,JP,1592428532
hithadhoo,-0.6,73.08,28.98,74,24,3.08,MV,1592428532
geraldton,-28.77,114.6,17.0,77,40,9.8,AU,1592428533
lumeje,-11.55,20.78,14.28,50,0,2.87,AO,1592428533
den helder,52.96,4.76,18.0,77,100,7.2,NL,1592428533
halifax,44.65,-63.57,24.44,55,0,0.89,CA,1592428109
black river,18.03,-77.85,31.11,74,20,3.6,JM,1592428533
camacha,33.08,-16.33,19.0,88,40,2.6,PT,1592428533
juneau,58.3,-134.42,13.0,76,90,4.1,US,1592428351
jever,53.58,7.9,17.0,77,100,3.1,DE,1592428534
bredasdorp,-34.53,20.04,6.0,93,0,1.9,ZA,1592428534
tessalit,20.2,1.01,37.51,9,1,6.61,ML,1592428534
butaritari,3.07,172.79,28.15,76,1,5.97,KI,1592428534
vaini,-21.2,-175.2,23.0,73,20,6.2,TO,1592428534
ostersund,63.18,14.64,14.0,100,99,1.5,SE,1592428501
georgetown,5.41,100.34,27.0,94,40,2.1,MY,1592428534
galle,6.04,80.22,27.12,87,50,3.81,LK,1592428534
fort-shevchenko,44.51,50.26,27.53,31,100,6.58,KZ,1592428534
busselton,-33.65,115.33,11.11,59,9,8.79,AU,1592428535
half moon bay,37.46,-122.43,30.0,55,1,6.7,US,1592428312
san luis,-33.3,-66.34,12.16,51,79,3.02,AR,1592428535
longyearbyen,78.22,15.64,4.0,69,20,2.6,SJ,1592428535
hanmer springs,-42.52,172.82,6.15,85,100,2.93,NZ,1592428535
lagoa,39.05,-27.98,17.6,79,100,4.14,PT,1592428536
changji,44.02,87.32,20.0,60,98,3.0,CN,1592428536
borinskoye,52.46,39.37,18.0,82,0,3.0,RU,1592428536
abong mbang,3.98,13.18,20.59,96,99,0.71,CM,1592428536
provideniya,64.38,-173.3,13.0,58,97,4.0,RU,1592428536
puerto ayora,-0.74,-90.35,24.0,78,75,3.6,EC,1592428536
khatanga,71.97,102.5,8.82,59,94,4.57,RU,1592428536
vila velha,-20.33,-40.29,23.0,69,40,2.6,BR,1592428315
lorengau,-2.02,147.27,27.63,78,42,4.13,PG,1592428536
yellowknife,62.46,-114.35,16.67,43,40,7.2,CA,1592428537
baruun-urt,46.68,113.28,15.99,78,20,3.07,MN,1592428537
millau,44.08,2.92,15.0,79,27,1.65,FR,1592428537
ilinskiy,55.62,38.12,25.0,88,90,1.72,RU,1592428537
buala,-8.14,159.59,27.82,78,61,2.98,SB,1592428537
marang,5.21,103.21,26.0,94,20,1.5,MY,1592428537
santiago de cao,-7.96,-79.24,19.27,76,0,6.78,PE,1592428537
hasaki,35.73,140.83,20.0,88,75,3.1,JP,1592428417
port hedland,-20.32,118.57,18.0,82,90,3.6,AU,1592428538
americo brasiliense,-21.72,-48.1,17.76,80,0,2.6,BR,1592428538
takoradi,4.88,-1.76,25.12,88,89,6.49,GH,1592428538
chokurdakh,70.63,147.92,21.54,36,13,3.39,RU,1592428538
norman wells,65.28,-126.83,28.0,32,40,4.1,CA,1592428538
progreso,21.28,-89.67,31.67,74,75,3.1,MX,1592428538
pathein,16.78,94.73,25.09,90,100,2.08,MM,1592428538
karaton,-6.34,106.1,27.0,83,20,1.5,ID,1592428539
grand forks,47.93,-97.03,34.0,38,75,9.3,US,1592428539
bonavista,48.65,-53.11,14.06,57,100,11.16,CA,1592428539
torbay,47.67,-52.73,20.56,34,90,7.7,CA,1592428539
smithers,54.78,-127.17,17.0,48,40,2.1,CA,1592428539
zhigansk,66.77,123.37,12.01,93,98,5.08,RU,1592428539
new norfolk,-42.78,147.06,0.56,88,0,1.13,AU,1592428476
saint-philippe,-21.36,55.77,21.0,88,75,5.1,RE,1592428539
savannah bight,16.45,-85.85,28.15,78,94,9.84,HN,1592428539
puri,19.8,85.85,29.0,89,75,4.6,IN,1592428540
mahebourg,-20.41,57.7,20.0,94,75,8.2,MU,1592428540
liangxiang,39.73,116.14,27.22,64,58,1.94,CN,1592428540
ulaanbaatar,47.91,106.88,11.0,71,90,1.0,MN,1592428296
port augusta,-32.5,137.77,8.33,93,0,3.1,AU,1592428540
kutum,14.2,24.67,25.3,45,54,3.69,SD,1592428540
qaanaaq,77.48,-69.36,1.22,88,34,1.05,GL,1592428540
safonovo,55.15,33.22,17.21,88,69,2.56,RU,1592428541
bengkulu,-3.8,102.27,24.86,87,71,1.98,ID,1592428541
yumen,40.28,97.2,21.61,20,100,2.53,CN,1592428541
airai,-8.93,125.41,12.92,100,29,2.11,TL,1592428541
hirara,24.8,125.28,28.53,83,100,10.34,JP,1592428541
cockburn town,21.46,-71.14,30.0,62,40,5.1,TC,1592428541
port lincoln,-34.73,135.87,13.22,63,8,8.99,AU,1592428541
broome,42.25,-75.83,28.89,31,1,2.39,US,1592428542
kuantan,3.81,103.33,24.0,94,40,0.5,MY,1592428542
kapaa,22.08,-159.32,28.33,74,75,6.7,US,1592428542
fortuna,40.6,-124.16,20.0,68,20,8.2,US,1592428542
fairbanks,64.84,-147.72,23.89,37,1,1.5,US,1592428542
los llanos de aridane,28.66,-17.92,23.0,78,20,3.1,ES,1592428542
xining,36.62,101.77,10.8,64,0,1.22,CN,1592428542
pedasi,7.53,-80.03,27.98,79,35,4.09,PA,1592428543
sitka,57.05,-135.33,13.0,66,90,2.1,US,1592428543
chimbote,-9.09,-78.58,20.02,71,4,5.94,PE,1592428543
mogadishu,2.04,45.34,25.77,83,50,7.87,SO,1592428543
kologriv,58.83,44.32,11.79,69,39,2.46,RU,1592428543
cap malheureux,-19.98,57.61,20.56,89,43,4.47,MU,1592428543
sala,34.04,-6.82,21.11,72,40,3.1,MA,1592428543
praia da vitoria,38.73,-27.07,18.0,72,75,4.29,PT,1592428543
tripoli,32.88,13.19,27.27,34,0,6.73,LY,1592428502
mayor pablo lagerenza,-19.93,-60.77,30.67,40,34,5.48,PY,1592428544
san policarpo,12.18,125.51,27.56,81,100,1.59,PH,1592428544
saskylakh,71.92,114.08,15.49,52,60,8.35,RU,1592428544
lata,40.16,-8.33,16.67,80,0,1.51,PT,1592428544
waipawa,-41.41,175.52,11.0,93,100,8.2,NZ,1592428544
korla,41.76,86.15,28.33,34,1,2.84,CN,1592428544
brae,60.4,-1.35,12.0,93,96,1.0,GB,1592428545
suluq,31.67,20.25,20.68,84,0,3.29,LY,1592428545
guerrero negro,27.98,-114.06,23.57,49,0,7.42,MX,1592428545
kirkenaer,60.46,12.06,19.0,63,26,2.6,NO,1592428545
lebu,-37.62,-73.65,11.66,83,64,5.75,CL,1592428545
kupang,-10.17,123.58,24.46,77,13,6.08,ID,1592428545
krasnoselkup,65.7,82.47,5.62,70,100,1.97,RU,1592428545
bay roberts,47.6,-53.26,19.44,39,100,1.34,CA,1592428546
palmerston,-12.49,130.98,23.33,56,5,3.1,AU,1592428546
cidreira,-30.18,-50.21,18.07,87,6,4.69,BR,1592428546
aswan,24.09,32.91,31.02,13,0,2.6,EG,1592428546
maldonado,-34.67,-54.92,23.33,83,100,4.6,UY,1592428546
ulladulla,-35.35,150.47,11.11,87,90,2.6,AU,1592428546
klaksvik,62.23,-6.59,9.0,93,100,3.1,FO,1592428546
thompson,55.74,-97.86,7.0,93,90,6.7,CA,1592428546
newton,42.34,-71.21,29.44,34,1,3.1,US,1592428527
gigmoto,13.78,124.39,26.97,84,100,2.53,PH,1592428547
ponta do sol,32.67,-17.1,20.0,72,40,2.6,PT,1592428547
alofi,-19.06,-169.92,24.0,53,20,7.7,NU,1592428547
pacific grove,36.62,-121.92,25.56,59,1,3.6,US,1592428547
hami,42.8,93.45,29.22,14,96,1.8,CN,1592428547
krasnogvardeyskoye,45.85,41.52,20.9,64,100,6.02,RU,1592428547
warah,27.45,67.8,37.31,27,0,10.07,PK,1592428547
mackay,-21.15,149.2,20.0,82,90,6.2,AU,1592428548
sarkand,45.41,79.92,12.56,51,0,2.41,KZ,1592428548
leningradskiy,69.38,178.42,9.69,52,99,4.29,RU,1592428548
touros,-5.2,-35.46,26.0,78,20,5.1,BR,1592428548
ancud,-41.87,-73.82,11.11,87,75,5.7,CL,1592428548
delta del tigre,-34.76,-56.39,24.0,60,100,6.7,UY,1592428548
west bay,19.37,-81.42,31.11,66,20,2.6,KY,1592428548
boralday,43.36,76.86,15.0,54,75,1.0,KZ,1592428548
tlacotepec,20.07,-97.87,21.91,81,77,2.28,MX,1592428548
linxia,35.6,103.21,12.06,55,0,1.93,CN,1592428549
port moresby,-9.44,147.18,24.0,94,40,4.1,PG,1592428549
svetlogorsk,52.63,29.73,19.1,92,15,3.28,BY,1592428549
luganville,-15.53,167.17,26.0,88,75,4.1,VU,1592428549
tecoanapa,16.52,-98.75,31.36,62,0,5.7,MX,1592428549
fort nelson,58.81,-122.7,16.0,77,75,2.1,CA,1592428549
tahe,52.33,124.73,10.89,76,0,0.83,CN,1592428550
arroyos y esteros,-25.07,-57.1,30.0,42,59,7.2,PY,1592428550
ust-tsilma,65.44,52.15,3.55,74,67,2.8,RU,1592428550
ovsyanka,55.96,92.55,7.0,93,0,1.03,RU,1592428550
shingu,33.73,135.98,20.29,71,100,1.33,JP,1592428550
khandyga,62.67,135.6,18.9,53,30,1.27,RU,1592428550
helong,42.54,129.0,14.53,90,53,0.77,CN,1592428550
arcata,40.87,-124.08,23.33,63,1,7.7,US,1592428551
nouadhibou,20.93,-17.03,33.0,29,0,10.8,MR,1592428551
isangel,-19.55,169.27,23.0,88,75,3.1,VU,1592428551
kodiak,57.79,-152.41,10.0,87,90,7.7,US,1592428551
sao filipe,14.9,-24.5,25.09,75,2,4.48,CV,1592428551
elbrus,43.26,42.64,9.11,61,100,1.05,RU,1592428551
nara,34.69,135.8,22.78,77,100,0.5,JP,1592428551
luwuk,-0.95,122.79,25.73,80,82,2.73,ID,1592428552
promyshlennaya,54.92,85.64,15.0,58,34,0.88,RU,1592428552
parscov,45.28,26.55,19.0,88,75,3.1,RO,1592428552
baldone,56.74,24.39,18.33,82,20,3.1,LV,1592428552
coquimbo,-29.95,-71.34,16.0,59,4,1.0,CL,1592428552
saint george,37.1,-113.58,31.11,19,1,3.1,US,1592428394
avera,33.19,-82.53,24.0,57,90,3.1,US,1592428552
kiomboi,-4.27,34.37,16.21,50,0,4.06,TZ,1592428552
serenje,-13.23,30.24,12.6,64,79,2.65,ZM,1592428553
tasiilaq,65.61,-37.64,3.0,86,100,11.8,GL,1592428553
mehamn,71.04,27.85,7.0,75,9,3.6,NO,1592428553
namibe,-15.2,12.15,21.59,67,0,2.54,AO,1592428553
banda aceh,5.56,95.32,27.21,77,94,1.97,ID,1592428553
walvis bay,-22.96,14.51,23.33,20,0,5.7,NA,1592428554
beringovskiy,63.05,179.32,10.14,59,0,1.26,RU,1592428554
provo,40.23,-111.66,17.22,36,40,3.6,US,1592428503
severo-kurilsk,50.68,156.12,6.55,88,100,2.84,RU,1592428554
termiz,37.22,67.28,22.0,35,1,4.1,UZ,1592428554
gold coast,-28.0,153.43,16.67,77,4,3.6,AU,1592428554
salekhard,66.53,66.6,1.83,86,20,3.81,RU,1592428554
sorland,67.67,12.69,10.56,77,0,9.16,NO,1592428554
flin flon,54.77,-101.86,7.0,93,90,5.7,CA,1592428555
roma,43.21,-75.46,29.0,25,1,2.1,US,1592428555
karratha,-20.74,116.85,19.83,64,0,2.25,AU,1592428499
khomeyn,33.64,50.08,21.62,22,0,0.16,IR,1592428555
itapirapua,-15.82,-50.61,24.38,53,0,3.43,BR,1592428555
samoylovka,51.18,43.71,18.89,69,0,1.79,RU,1592428555
salinopolis,-0.61,-47.36,27.17,83,6,5.15,BR,1592428555
dubti,11.74,41.09,34.54,23,100,3.26,ET,1592428555
port blair,11.67,92.75,28.3,81,100,5.42,IN,1592428555
cherskiy,68.75,161.3,24.47,30,29,1.66,RU,1592428556
olafsvik,64.89,-23.71,9.08,79,100,4.08,IS,1592428556
socorro,31.65,-106.3,36.11,17,40,3.6,US,1592428556
brewster,41.4,-73.62,27.78,47,1,4.1,US,1592428556
pucallpa,-8.38,-74.55,32.0,55,40,0.5,PE,1592428556
opuwo,-18.06,13.84,14.16,43,0,3.28,NA,1592428556
ahipara,-35.17,173.17,15.7,90,88,4.35,NZ,1592428556
saint-augustin,51.23,-58.65,15.23,74,100,7.22,CA,1592428375
kindu,-2.95,25.95,20.26,60,4,0.82,CD,1592428557
avarua,-21.21,-159.78,23.0,64,91,4.6,CK,1592428557
husavik,66.04,-17.34,11.0,76,22,4.1,IS,1592428393
port-gentil,-0.72,8.78,24.0,88,75,4.6,GA,1592428557
hamilton,39.18,-84.53,28.33,39,1,4.6,US,1592428557
san patricio,19.22,-104.7,31.0,74,20,5.1,MX,1592428554
kaniama,-7.57,24.18,16.86,45,9,2.15,CD,1592428557
yulara,-25.24,130.99,6.0,48,0,2.6,AU,1592428557
bueu,42.32,-8.79,16.11,82,5,3.1,ES,1592428558
chapleau,47.84,-83.4,30.0,23,5,5.1,CA,1592428558
cap-chat,49.1,-66.68,21.12,54,100,5.3,CA,1592428558
punta alta,-38.88,-62.07,11.57,95,100,3.96,AR,1592428424
selenginsk,52.01,106.86,8.0,81,45,1.0,RU,1592428558
nome,64.5,-165.41,19.0,52,40,3.6,US,1592428558
bani walid,31.76,13.99,25.48,32,0,4.7,LY,1592428558
carnarvon,-24.87,113.63,20.0,100,75,2.1,AU,1592428263
kazachinskoye,57.7,93.28,7.75,80,0,2.03,RU,1592428559
jibuti,11.5,42.5,31.81,30,100,1.31,DJ,1592428559
micheweni,-4.97,39.83,25.87,73,96,7.76,TZ,1592428559
buzmeyin,38.05,58.21,29.0,20,20,3.1,TM,1592428559
lasa,46.62,10.7,8.0,87,75,3.6,IT,1592428559
los aquijes,-14.1,-75.69,22.0,64,0,11.3,PE,1592428559
katherine,-14.47,132.27,19.0,82,15,2.1,AU,1592428559
tuktoyaktuk,69.45,-133.04,7.0,93,40,5.7,CA,1592428559
tahta,26.77,31.5,35.0,13,0,4.6,EG,1592428560
kantunilkin,21.09,-87.45,30.56,74,75,2.6,MX,1592428560
port elizabeth,-33.92,25.57,10.0,93,0,1.0,ZA,1592428560
pisco,-13.7,-76.22,22.0,64,0,11.3,PE,1592428560
alice springs,-23.7,133.88,1.0,55,0,1.0,AU,1592428386
axim,4.87,-2.24,25.38,87,93,5.5,GH,1592428560
aksehir,38.36,31.42,17.03,54,8,2.85,TR,1592428560
sinnamary,5.38,-52.95,27.48,80,89,2.43,GF,1592428553
east london,-33.02,27.91,16.43,73,1,6.01,ZA,1592428557
ambilobe,-13.2,49.05,17.37,70,13,1.79,MG,1592428561
batemans bay,-35.72,150.18,8.33,94,70,1.86,AU,1592428561
ambato,-1.25,-78.62,21.0,52,75,4.1,EC,1592428341
sisimiut,66.94,-53.67,3.13,79,83,4.82,GL,1592428561
tiznit,29.58,-9.5,19.82,55,4,2.06,MA,1592428561
balkanabat,39.51,54.37,30.29,13,0,9.26,TM,1592428561
pemberton,50.32,-122.8,19.0,52,20,2.1,CA,1592428562
lansing,42.73,-84.56,28.0,34,1,2.53,US,1592428282
saint-pierre,-21.34,55.48,18.0,88,75,5.1,RE,1592428562
plettenberg bay,-34.05,23.37,16.38,40,0,3.13,ZA,1592428562
abu samrah,35.3,37.18,23.73,42,0,5.62,SY,1592428562
baoro,5.67,15.97,20.12,95,53,0.65,CF,1592428266
upernavik,72.79,-56.15,1.79,86,0,2.14,GL,1592428562
kijang,35.24,129.21,18.0,88,90,2.6,KR,1592428535
mount isa,-20.73,139.5,17.0,51,0,2.1,AU,1592428563
olavarria,-36.89,-60.32,20.0,88,90,2.6,AR,1592428429
esperance,-33.87,121.9,13.0,87,75,5.7,AU,1592428563
