City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
salalah,17.02,54.09,30.0,79,98,1.5,OM,1592428549
omsukchan,62.53,155.8,12.6,62,72,1.59,RU,1592428563
tadine,-21.55,167.88,22.69,76,64,5.17,NC,1592428563
vanavara,60.34,102.28,8.52,73,93,0.9,RU,1592428563
laguna,38.42,-121.42,30.0,20,5,7.7,US,1592428564
maraa,-1.83,-65.37,26.07,92,81,0.78,BR,1592428265
beloha,-25.17,45.05,17.5,79,48,5.55,MG,1592428564
mumford,5.26,-0.76,25.46,88,97,7.2,GH,1592428564
yanji,42.91,129.51,14.79,91,73,0.56,CN,1592428564
thunder bay,48.4,-89.32,28.0,39,40,6.2,CA,1592428434
batagay,67.63,134.63,22.57,38,2,2.03,RU,1592428564
papetoai,-17.5,-149.87,28.0,74,75,3.6,PF,1592428564
iquique,-20.22,-70.14,18.0,68,58,9.3,CL,1592428564
kiruna,67.86,20.23,18.0,31,62,1.5,SE,1592428565
pedro ii,-4.42,-41.46,22.9,74,0,2.32,BR,1592428342
la ronge,55.1,-105.28,10.0,71,90,6.2,CA,1592428565
ribeira grande,38.52,-28.7,19.0,77,75,2.6,PT,1592428565
havelock,34.88,-76.9,25.0,65,90,6.2,US,1592428565
edd,13.93,41.69,31.24,63,37,2.43,ER,1592428564
eyl,7.98,49.82,28.35,63,64,12.4,SO,1592428565
hargeysa,9.56,44.06,22.22,62,96,10.21,SO,1592428565
los zacatones,22.95,-102.05,26.0,29,40,3.1,MX,1592428565
okato,-39.2,173.88,14.44,90,100,1.34,NZ,1592428566
vazante,-17.99,-46.91,19.84,69,39,2.04,BR,1592428566
pho chai,16.33,103.77,24.45,88,100,4.75,TH,1592428566
ostrovnoy,68.05,39.51,5.0,76,0,1.91,RU,1592428566
marrakesh,31.63,-8.01,27.0,36,41,2.1,MA,1592428304
labuhan,-6.88,112.21,24.93,88,20,3.29,ID,1592428566
hsinchu,24.8,120.97,27.0,88,20,2.6,TW,1592428566
korop,51.57,32.96,19.29,92,52,4.01,UA,1592428566
auki,-8.77,160.7,26.73,80,65,1.87,SB,1592428566
sobolevo,54.43,31.9,17.02,87,0,2.73,RU,1592428567
yerbogachen,61.28,108.01,10.41,69,0,1.07,RU,1592428567
banjar,-8.19,114.97,24.64,79,4,1.83,ID,1592428567
canutama,-6.53,-64.38,30.43,59,68,0.89,BR,1592428567
nalhati,24.3,87.82,27.85,81,87,4.18,IN,1592428567
idrinskoye,54.37,92.14,10.64,79,1,1.2,RU,1592428568
sangerhausen,51.47,11.3,20.56,74,100,2.45,DE,1592428568
saldanha,-33.01,17.94,14.0,50,22,1.0,ZA,1592428568
quzhou,28.96,118.87,25.46,80,99,1.97,CN,1592428568
muros,42.78,-9.06,14.44,83,26,0.45,ES,1592428568
tanout,14.97,8.89,35.3,10,4,4.39,NE,1592428568
souillac,-20.52,57.52,20.0,94,75,8.2,MU,1592428569
kudahuvadhoo,2.67,72.89,28.6,78,65,3.48,MV,1592428569
sibiti,-3.68,13.35,19.81,95,100,0.68,CG,1592428569
pangoa,-12.12,-73.0,27.0,59,56,1.31,PE,1592428569
marsaxlokk,35.84,14.54,21.67,68,0,2.6,MT,1592428569
ciudad bolivar,8.12,-63.55,32.12,54,88,3.73,VE,1592428569
chuy,-33.7,-53.46,19.44,80,100,4.25,UY,1592428569
tortoli,39.93,9.66,21.0,77,0,3.1,IT,1592428569
mildura,-34.2,142.15,9.0,93,75,4.18,AU,1592428570
coihaique,-45.58,-72.07,6.0,93,75,2.1,CL,1592428554
baherden,38.44,57.43,28.72,14,0,3.53,TM,1592428570
victoria,22.29,114.16,28.89,74,11,4.02,HK,1592428503
andenes,69.31,16.12,10.0,81,0,3.1,NO,1592428570
grand gaube,-20.01,57.66,20.56,89,45,4.47,MU,1592428570
luzhou,28.87,105.44,21.77,87,100,1.38,CN,1592428570
abatskoye,56.29,70.46,10.02,92,56,4.84,RU,1592428570
whitehorse,60.72,-135.05,16.0,44,20,7.7,CA,1592428388
tinguindin,19.75,-102.48,26.0,54,40,6.2,MX,1592428571
gazanjyk,39.24,55.52,28.99,13,0,8.34,TM,1592428571
lensk,60.73,114.93,11.44,83,100,1.54,RU,1592428571
port hawkesbury,45.62,-61.35,26.11,47,1,5.1,CA,1592428497
oyama,36.3,139.8,23.33,93,75,1.5,JP,1592428571
bantul,-7.89,110.33,24.5,89,23,2.2,ID,1592428571
rio grande,-32.03,-52.1,22.0,78,95,4.6,BR,1592428324
mount gambier,-37.83,140.77,7.0,87,84,3.6,AU,1592428571
umm lajj,25.02,37.27,27.3,55,0,1.63,SA,1592428572
hit,33.64,42.83,31.74,17,0,6.6,IQ,1592428572
egvekinot,66.32,-179.17,13.87,42,70,0.88,RU,1592428572
tura,25.52,90.22,23.85,98,100,2.91,IN,1592428572
roald,62.58,6.13,16.67,77,53,4.6,NO,1592428572
turayf,31.67,38.66,27.0,24,0,4.1,SA,1592428572
aasiaat,68.71,-52.87,2.11,85,22,3.28,GL,1592428572
waiouru,-39.48,175.67,8.32,80,100,2.25,NZ,1592428572
la palma,33.85,-118.05,24.44,56,90,3.6,US,1592428309
jining,35.41,116.58,18.36,90,100,3.27,CN,1592428573
adrar,20.5,-10.07,37.54,15,0,7.77,MR,1592428573
el alto,-4.27,-81.21,20.28,75,12,6.29,PE,1592428573
newcastle,-32.93,151.78,16.11,63,90,5.7,AU,1592428279
roi et,16.06,103.65,24.32,88,100,5.4,TH,1592428573
doembang nangbuat,14.83,100.1,25.56,96,100,4.23,TH,1592428573
menongue,-14.66,17.69,11.08,62,0,2.04,AO,1592428574
lompoc,34.64,-120.46,22.22,56,3,6.7,US,1592428574
waddan,29.16,16.14,26.88,21,0,6.58,LY,1592428574
atar,20.52,-13.05,37.37,17,0,6.15,MR,1592428574
mehran,33.12,46.16,22.0,24,0,6.21,IR,1592428574
otradnoye,59.78,30.82,21.0,73,20,4.0,RU,1592428574
kaputa,-8.47,29.66,17.92,54,0,2.16,ZM,1592428574
belmonte,-15.86,-38.88,24.0,64,75,3.6,BR,1592428574
fatehpur,25.93,80.8,31.32,62,89,1.38,IN,1592428575
clyde river,70.47,-68.59,2.0,80,90,2.1,CA,1592428575
zamora,-4.07,-78.96,29.0,37,20,7.7,EC,1592428575
elko,41.0,-115.5,17.78,30,2,5.81,US,1592428575
port arthur,38.8,121.27,22.0,78,100,7.0,CN,1592428575
tongliao,43.61,122.27,17.79,62,81,3.06,CN,1592428575
bilibino,68.05,166.44,23.09,29,96,1.99,RU,1592428555
bendigo,-36.77,144.28,2.78,55,5,2.5,AU,1592428575
neiafu,-18.65,-173.98,25.0,61,20,5.1,TO,1592428575
pekan nenas,1.51,103.51,25.0,94,20,0.89,MY,1592428576
mamallapuram,12.63,80.17,31.0,58,40,2.6,IN,1592428576
sabha,27.04,14.43,26.74,15,0,3.33,LY,1592428576
jalu,29.03,21.55,23.46,45,0,6.42,LY,1592428576
macultepec,18.17,-92.83,32.0,73,40,4.1,MX,1592428576
sa kaeo,13.81,102.07,23.32,94,100,2.79,TH,1592428576
lengshuijiang,27.69,111.43,23.96,88,100,0.91,CN,1592428576
stornoway,58.21,-6.39,13.33,93,59,2.1,GB,1592428576
fort smith,35.39,-94.4,33.33,46,20,2.6,US,1592428383
colares,38.8,-9.45,17.78,72,20,4.6,PT,1592428576
gasa,31.5,34.47,22.78,49,0,0.89,PS,1592428577
asau,46.43,26.4,15.0,94,98,1.08,RO,1592428577
sao joao da barra,-21.64,-41.05,23.0,69,20,4.6,BR,1592428577
kez,57.9,53.72,7.1,72,0,2.02,RU,1592428577
port hardy,50.7,-127.42,14.0,76,75,2.6,CA,1592428577
faya,18.39,42.45,26.0,27,89,2.05,SA,1592428577
ayagoz,47.97,80.44,13.53,71,38,6.73,KZ,1592428577
inirida,3.87,-67.92,27.26,93,74,1.27,CO,1592428577
singapore,1.29,103.85,27.0,88,75,1.14,SG,1592428281
pirojpur,22.57,89.98,27.46,84,100,6.41,BD,1592428578
francistown,-21.17,27.51,8.78,88,0,4.86,BW,1592428578
talnakh,69.49,88.4,3.0,93,100,4.0,RU,1592428578
northam,51.03,-4.22,13.89,97,100,1.4,GB,1592428578
contamana,-7.33,-75.02,31.88,48,59,1.45,PE,1592428578
nishihara,26.18,127.76,28.0,88,75,7.2,JP,1592428578
soyo,-6.13,12.37,22.88,88,47,2.2,AO,1592428578
prince rupert,54.32,-130.32,15.0,72,90,2.1,CA,1592428465
narsaq,60.92,-46.05,8.0,65,75,3.6,GL,1592428579
oranjestad,12.52,-70.03,30.0,66,20,9.3,AW,1592428279
hovd,48.01,91.64,16.86,52,70,0.26,MN,1592428579
zanjan,36.67,48.48,17.41,50,0,3.1,IR,1592428579
morondava,-20.28,44.28,22.77,54,0,7.45,MG,1592428579
umarga,17.83,76.62,23.42,86,100,7.08,IN,1592428579
okhotsk,59.38,143.3,8.3,90,88,2.03,RU,1592428579
petropavlovsk-kamchatskiy,53.05,158.65,6.0,100,90,1.0,RU,1592428579
aklavik,68.22,-135.01,17.0,63,75,1.5,CA,1592428580
itarema,-2.92,-39.92,25.42,85,3,4.65,BR,1592428580
zorritos,-3.68,-80.68,26.0,78,90,4.18,PE,1592428580
victoria point,-27.58,153.3,17.22,75,3,1.79,AU,1592428580
razole,16.48,81.83,27.59,80,100,3.04,IN,1592428580
malindi,-3.22,40.12,25.74,74,74,9.03,KE,1592428580
formiga,-20.46,-45.43,15.98,84,4,2.94,BR,1592428580
loukisia,38.48,23.45,25.0,56,20,2.1,GR,1592428581
issaquah,47.53,-122.03,21.67,55,1,2.6,US,1592428581
rocha,-34.48,-54.33,20.37,79,100,6.18,UY,1592428581
duki,30.15,68.57,29.62,13,0,1.89,PK,1592428581
southbridge,42.08,-72.03,28.89,35,0,1.04,US,1592428421
shimoda,34.67,138.95,17.78,91,100,0.45,JP,1592428581
xai-xai,-25.05,33.64,18.17,82,86,2.4,MZ,1592428581
pitimbu,-7.47,-34.81,26.0,78,20,4.6,BR,1592428582
marzuq,14.4,46.47,30.42,24,55,1.9,YE,1592428582
smirnykh,49.75,142.83,7.08,94,100,1.59,RU,1592428582
vila franca do campo,37.72,-25.43,18.0,72,20,5.1,PT,1592428582
belmopan,17.25,-88.77,24.44,76,97,1.86,BZ,1592428453
anloga,5.79,0.9,26.0,88,40,4.6,GH,1592428582
riyadh,24.69,46.72,34.0,13,43,4.1,SA,1592427812
tancanhuitz,21.6,-98.97,30.88,57,47,2.08,MX,1592428582
kununurra,-15.77,128.73,17.0,47,0,1.5,AU,1592428582
barcelona,41.39,2.16,21.11,77,20,1.0,ES,1592428430
nha trang,12.25,109.18,27.0,83,20,0.5,VN,1592428583
quelimane,-17.88,36.89,19.0,93,75,6.2,MZ,1592428583
deputatskiy,69.3,139.9,21.18,42,0,2.34,RU,1592428547
ornskoldsvik,63.29,18.72,13.0,87,38,1.5,SE,1592428583
guangyuan,32.44,105.82,18.33,67,9,2.68,CN,1592428583
grand bank,47.1,-55.77,13.0,76,94,6.7,CA,1592428584
caldas novas,-17.74,-48.62,19.88,69,9,2.44,BR,1592428584
la tuque,47.43,-72.78,29.8,34,62,4.27,CA,1592428584
banfora,10.63,-4.77,30.45,54,30,3.42,BF,1592428584
vorontsovka,50.61,40.35,18.41,66,0,4.38,RU,1592428584
goba,7.02,39.98,10.55,84,44,1.83,ET,1592428584
oktyabrskoye,43.06,44.74,18.0,100,100,6.0,RU,1592428584
pussi,59.36,27.05,17.73,89,0,1.98,EE,1592428584
nelson bay,-32.72,152.15,16.11,63,90,5.7,AU,1592428584
nantucket,41.28,-70.1,21.0,64,1,2.6,US,1592428575
svetlaya,46.54,138.33,8.84,92,100,3.18,RU,1592428585
leshukonskoye,64.9,45.76,4.11,80,17,1.66,RU,1592428585
agadez,19.75,10.25,29.86,11,0,4.11,NE,1592428585
araouane,18.9,-3.53,39.4,7,0,3.63,ML,1592428585
sioux lookout,50.1,-91.92,33.0,41,20,6.2,CA,1592428585
rudbar,30.15,62.6,30.75,12,0,4.44,AF,1592428585
asyut,27.18,31.18,33.0,29,0,3.6,EG,1592428586
vila,42.03,-8.16,15.56,82,27,3.1,PT,1592428586
pashiya,58.43,58.26,5.02,71,0,1.9,RU,1592428586
atambua,-9.11,124.89,20.38,87,35,2.9,ID,1592428586
carmen,18.63,-91.83,31.0,66,40,4.1,MX,1592428586
luanda,-8.84,13.23,22.0,94,20,1.0,AO,1592428586
taganak,6.08,118.3,26.0,94,20,4.17,PH,1592428586
angoche,-16.23,39.91,21.31,84,8,4.73,MZ,1592428561
lastoursville,-0.81,12.73,22.93,92,99,0.99,GA,1592428587
jiaocheng,24.68,116.14,23.52,89,70,0.67,CN,1592428444
qingyuan,23.7,113.03,26.0,83,40,1.0,CN,1592428587
kitui,-1.37,38.01,15.88,76,3,2.2,KE,1592428587
tilichiki,60.47,166.1,12.92,64,10,1.35,RU,1592428587
allapalli,19.42,80.07,25.5,88,90,1.33,IN,1592428587
darhan,49.49,105.92,13.33,58,66,1.95,MN,1592428587
moree,-29.47,149.85,8.0,81,0,3.6,AU,1592428587
lixourion,38.2,20.43,19.89,79,0,2.14,GR,1592428587
ngorongoro,-3.24,35.49,9.13,94,0,2.6,TZ,1592428415
ilulissat,69.22,-51.1,4.0,73,85,2.6,GL,1592428588
iranshahr,27.2,60.68,39.0,16,0,2.1,IR,1592428588
puerto escondido,15.85,-97.07,31.0,66,75,3.1,MX,1592428588
bafoussam,5.47,10.42,14.95,100,100,1.33,CM,1592428588
moreno,-8.12,-35.09,27.0,65,40,7.7,BR,1592428504
los banos,14.17,121.18,27.78,83,20,1.0,PH,1592428588
kieta,-6.22,155.63,26.74,72,100,2.06,PG,1592428588
green river,41.53,-109.47,14.0,33,40,9.8,US,1592428588
hazorasp,41.32,61.07,19.0,48,0,2.1,UZ,1592428588
berzence,46.21,17.15,19.0,93,75,1.5,HU,1592428589
ndjole,-0.18,10.76,23.78,91,100,0.92,GA,1592428589
margate,51.38,1.39,16.67,85,100,1.56,GB,1592428589
beira,-19.84,34.84,19.0,88,75,6.7,MZ,1592428589
joao pinheiro,-17.74,-46.17,20.78,61,93,2.86,BR,1592428589
qaqortoq,60.72,-46.03,8.0,65,75,3.6,GL,1592428589
mikuni,36.22,136.15,19.0,82,75,1.5,JP,1592428589
montefiascone,42.54,12.04,17.0,93,20,0.5,IT,1592428589
biak,-0.91,122.88,25.33,83,76,3.42,ID,1592428590
kiunga,-6.12,141.29,21.77,98,86,0.39,PG,1592428590
palana,59.12,159.97,8.01,86,100,3.06,RU,1592428590
kaitangata,-46.28,169.85,6.67,61,11,3.13,NZ,1592428590
tucuman,-26.82,-65.22,25.0,53,1,3.1,AR,1592428525
tam ky,15.57,108.48,27.0,83,20,1.77,VN,1592428590
karpathos,35.51,27.21,21.45,83,0,5.34,GR,1592428590
cachoeira do sul,-30.04,-52.89,20.05,82,10,2.48,BR,1592428333
puerto del rosario,28.5,-13.86,23.0,78,20,1.0,ES,1592428591
baker city,44.77,-117.83,20.0,42,20,5.7,US,1592428591
mindelo,16.89,-24.98,29.0,51,0,13.9,CV,1592428591
daitari,21.1,85.75,24.39,86,100,0.42,IN,1592428591
hoi an,15.88,108.33,27.0,83,20,2.89,VN,1592428591
emba,48.83,58.14,19.35,47,0,3.85,KZ,1592428591
byron bay,-28.65,153.62,13.0,93,75,2.6,AU,1592428514
cagsiay,14.22,121.75,27.52,80,100,3.62,PH,1592428591
wukari,7.85,9.78,24.12,92,100,3.49,NG,1592428591
ngunguru,-35.62,174.5,15.0,97,100,1.34,NZ,1592428591
devils lake,48.11,-98.87,24.0,78,1,3.6,US,1592428592
nanortalik,60.14,-45.24,3.9,76,99,3.98,GL,1592428550
matay,28.42,30.78,25.26,53,0,8.27,EG,1592428592
westport,41.14,-73.36,23.33,64,1,4.6,US,1592428488
seoul,37.57,126.98,20.0,88,100,1.5,KR,1592428407
rurrenabaque,-14.44,-67.53,29.64,55,41,1.16,BO,1592428592
puerto penasco,31.32,-113.53,27.78,63,0,8.05,MX,1592428593
inhambane,-23.86,35.38,19.36,82,29,6.18,MZ,1592428593
grindavik,63.84,-22.43,9.0,76,75,7.7,IS,1592428593
myingyan,21.47,95.38,26.83,73,100,7.32,MM,1592428593
gander,48.97,-54.59,20.0,49,75,7.7,CA,1592428593
ronneby,56.21,15.28,13.0,93,6,0.5,SE,1592428593
pemba,-12.97,40.52,23.0,83,75,5.1,MZ,1592428593
constitucion,-35.33,-72.42,12.21,87,88,4.51,CL,1592428593
dedza,-14.38,34.33,7.55,90,0,1.74,MW,1592428594
shaunavon,49.65,-108.42,15.63,68,98,7.94,CA,1592428594
atbasar,51.8,68.33,15.88,59,52,3.34,KZ,1592428594
taree,-31.9,152.47,14.0,87,90,2.6,AU,1592428594
iquitos,-3.75,-73.25,31.0,62,75,2.1,PE,1592428540
padang,-0.95,100.35,25.27,79,13,2.46,ID,1592428594
guadalajara,20.67,-103.33,33.33,28,20,3.1,MX,1592428595
rivers,50.03,-100.24,26.0,54,75,3.6,CA,1592428595
salamanca,40.83,-6.0,18.89,48,13,3.1,ES,1592428595
petauke,-14.24,31.33,14.1,65,34,4.6,ZM,1592428595
tifton,31.45,-83.51,29.44,51,90,1.8,US,1592428595
faanui,-16.48,-151.75,27.12,80,100,3.75,PF,1592428595
kholmogory,64.22,41.66,7.0,93,0,1.11,RU,1592428595
cascais,38.7,-9.42,17.78,72,20,4.6,PT,1592428441
druzhba,52.04,33.95,18.72,90,25,4.37,UA,1592428595
ust-nera,64.57,143.2,21.55,39,0,1.76,RU,1592428596
srednekolymsk,67.45,153.68,27.06,31,0,4.08,RU,1592428596
te anau,-45.42,167.72,2.4,84,29,2.68,NZ,1592428596
bambous virieux,-20.34,57.76,20.56,94,75,8.2,MU,1592428596
sao jose da coroa grande,-8.9,-35.15,24.58,76,10,5.08,BR,1592428596
quatre cocos,-20.21,57.76,20.56,94,75,8.2,MU,1592428587
namatanai,-3.67,152.43,26.55,81,52,3.96,PG,1592428596
college,64.86,-147.8,23.89,37,40,1.5,US,1592428596
oranjemund,-28.55,16.43,20.28,29,0,8.13,NA,1592428597
la asuncion,11.03,-63.86,21.0,100,30,6.7,VE,1592428597
mandalgarh,25.2,75.1,32.43,49,89,8.19,IN,1592428597
ambon,-3.7,128.18,27.78,92,27,7.87,ID,1592428597
jos,9.92,8.9,17.87,89,100,0.23,NG,1592428597
san miguel,13.48,-88.18,33.0,59,40,1.5,SV,1592428597
sao miguel do araguaia,-13.28,-50.16,24.73,52,0,2.43,BR,1592428597
ranong,9.97,98.63,27.42,76,100,1.72,TH,1592428597
ugoofaaru,5.67,73.0,28.95,80,80,6.04,MV,1592428598
oktyabrskiy,54.48,53.47,15.01,92,1,1.76,RU,1592428598
milkovo,54.72,158.62,17.0,63,5,0.99,RU,1592428598
cumana,10.46,-64.18,21.0,100,35,6.7,VE,1592428598
santa cruz,-17.8,-63.17,29.0,51,20,11.3,BO,1592428598
chabahar,25.29,60.64,29.63,86,48,5.41,IR,1592428558
sal rei,16.18,-22.92,28.0,61,11,10.8,CV,1592428598
dalvik,65.97,-18.53,11.0,76,57,4.1,IS,1592428598
nabire,-3.37,135.48,24.17,86,88,1.3,ID,1592428599
kahului,20.89,-156.47,31.0,43,20,9.3,US,1592428480
srandakan,-7.94,110.25,25.11,88,13,3.35,ID,1592428599
tigil,57.8,158.67,12.3,65,100,3.63,RU,1592428599
derzhavinsk,51.1,66.32,18.27,57,50,2.55,KZ,1592428599
clearlake,38.96,-122.63,28.33,17,0,4.58,US,1592428423
berlevag,70.86,29.09,7.0,75,7,3.6,NO,1592428599
tashtyp,52.79,89.9,10.71,87,99,0.31,RU,1592428599
gimli,50.63,-96.99,30.56,38,42,1.79,CA,1592428600
comodoro rivadavia,-45.87,-67.5,12.0,62,100,2.6,AR,1592428490
charters towers,-20.1,146.27,15.92,94,60,3.12,AU,1592428600
yining,29.04,114.56,25.12,83,97,1.39,CN,1592428600
catamarca,-28.47,-65.79,19.99,31,0,3.7,AR,1592428410
rockford,42.27,-89.09,30.0,33,40,4.1,US,1592428493
kamenka,51.32,42.77,18.89,69,0,1.79,RU,1592428600
rawson,-43.3,-65.1,12.37,51,99,4.3,AR,1592428385
tsaratanana,-16.78,47.65,16.81,59,0,7.58,MG,1592428600
dharchula,29.85,80.53,20.96,66,14,0.89,IN,1592428600
